date,open,high,low,close,volume
2021-01-01,2493.128415008964,2545.068590321651,2492.2627454204194,2534.89697265625,2681440
2021-01-04,2553.7248464547456,2640.9410424819716,2545.890495758471,2631.158935546875,5113293
2021-01-05,2631.2896804059933,2695.9118383773275,2631.2896804059933,2677.516357421875,5801309
2021-01-06,2683.575796483287,2695.2623362421655,2629.211702595182,2641.5908203125,3726716
2021-01-07,2661.9337997185553,2666.9980509975235,2597.2250024733644,2625.402587890625,3717827
2021-01-08,2674.918864641624,2707.814306989968,2648.9487785771425,2701.66796875,5879039
2021-01-11,2796.112751935151,2796.112751935151,2723.8726675326607,2749.756103515625,9508039
2021-01-12,2749.756038242285,2778.799294319537,2726.8591205939383,2748.37109375,3611458
2021-01-13,2748.501218287976,2750.2325576380786,2706.2998216292235,2734.607177734375,3572801
2021-01-14,2736.3854899940043,2833.091348039751,2706.376233201948,2819.3876953125,6931542
2021-01-15,2805.7703437426803,2839.5957049191766,2784.0874199115933,2804.33935546875,4131692
2021-01-18,2818.780516157271,2824.634906460059,2764.4863821317385,2794.27880859375,4160906
2021-01-19,2804.036392055692,2843.9329816116965,2803.169074891431,2828.06103515625,2975735
2021-01-20,2836.1263808447598,2886.387354938711,2833.6112464291687,2869.7783203125,3453446
2021-01-21,2866.4826599272615,2870.0819407468534,2829.274845651639,2839.4658203125,2778546
2021-01-22,2811.7549894065555,2883.829119158745,2811.7549894065555,2864.8349609375,3052459
2021-01-25,2869.9084013829615,2896.6652141947725,2843.628655246773,2854.600341796875,2272887
2021-01-27,2862.1462139580863,2867.7403664813583,2798.8320704371954,2828.3642578125,2786662
2021-01-28,2801.433829608627,2840.4630934886236,2761.3638277079594,2772.422119140625,3083938
2021-01-29,2784.1304979724146,2790.0282949045827,2688.682236236561,2698.5263671875,5445659
2021-02-01,2688.682517110102,2745.0581182753135,2640.1995848069396,2722.8115234375,3985846
2021-02-02,2752.863326136655,2796.2291630323175,2732.0477244267367,2778.40576171875,2881837
2021-02-03,2786.6894762922184,2806.637766972181,2743.0199813438967,2775.457763671875,2505866
2021-02-04,2789.3350076489455,2808.2425614623266,2754.5989178623313,2765.39697265625,2057261
2021-02-05,2774.503846861505,2780.4884615810297,2713.8350612985905,2738.94384765625,2366135
2021-02-08,2766.307714823766,2797.964786963935,2736.51528963128,2787.643798828125,2526592
2021-02-09,2771.0776719793193,2815.137415654774,2744.1908463670006,2755.379150390625,2658751
2021-02-10,2762.404836025075,2792.2404581893343,2738.3801958131926,2786.949951171875,2127983
2021-02-11,2788.4237718492914,2792.153276786292,2762.4476736180686,2780.617919921875,1165882
2021-02-12,2761.710925469774,2814.87750331554,2759.8028702973493,2767.435302734375,2777404
2021-02-15,2783.220247051006,2783.220247051006,2716.046587894049,2723.245361328125,2630853
2021-02-16,2732.0486043077217,2747.3566649630898,2688.6827534456943,2696.315185546875,3435770
2021-02-17,2693.105702387942,2717.1737455720167,2641.456940340768,2665.3515625,3678426
2021-02-18,2658.326785332414,2686.8614318691875,2628.8380053319893,2651.69189453125,4189909
2021-02-19,2652.2551540267127,2677.5373576665384,2615.957856052445,2664.267578125,3725028
2021-02-22,2685.2130530835975,2685.2130530835975,2552.643583641845,2565.91357421875,5366696
2021-02-23,2575.9314851380354,2626.235871043088,2574.1968511413097,2584.778076171875,3832829
2021-02-24,2577.665308480419,2604.8557725268483,2533.5621682848073,2556.9365234375,3774549
2021-02-25,2579.400860674548,2627.883798205514,2574.587208783475,2597.874755859375,4224073
2021-02-26,2567.257819935516,2577.969267498008,2497.8724734507728,2510.275146484375,5553153
2021-03-01,2537.768976273308,2571.5943317328633,2516.779951901704,2536.207763671875,3265871
2021-03-02,2567.2585096162825,2623.6341187801536,2556.8507048475676,2607.458740234375,3306469
2021-03-03,2632.306564191081,2657.4587521191015,2599.2617084557046,2653.208984375,3509857
2021-03-04,2621.8993188286727,2672.5939556672793,2615.8715079641565,2645.056640625,3916760
2021-03-05,2615.91480530581,2656.7653076598276,2599.0021243430324,2608.932861328125,3203686
2021-03-08,2615.828265686905,2630.5726557786415,2598.4819244025093,2607.97900390625,2003125
2021-03-09,2607.978919549329,2659.974533518005,2595.0993886106608,2646.140869140625,1942397
2021-03-10,2666.999736695888,2682.784863519715,2653.989981882737,2663.487060546875,3053778
2021-03-12,2666.9999564084487,2703.427272886223,2637.8148220722114,2652.212158203125,2938317
2021-03-15,2637.510794294109,2687.815176427966,2637.510794294109,2659.32373046875,3097083
2021-03-16,2653.990153676593,2724.242834215091,2653.990153676593,2697.3994140625,4894756
2021-03-17,2693.0189355940715,2736.384779967567,2675.9328352603716,2699.9140625,3838390
2021-03-18,2711.1888660681852,2728.968860189192,2590.718649137438,2633.607421875,3656306
2021-03-19,2627.9707160911503,2687.815593784315,2606.287789390728,2645.490478515625,5776626
2021-03-22,2644.1889341547226,2722.897941147131,2618.1260195174214,2714.398193359375,2821646
