date,open,high,low,close,volume
2022-01-03,1076.1033704774222,1095.6461284145312,1075.4435886178533,1093.780517578125,5421611
2022-01-04,1099.2636517956478,1119.7846517979926,1093.848914455948,1118.465087890625,10847728
2022-01-05,1120.2396140596422,1127.0647821675334,1107.021469888781,1123.6976318359375,11643813
2022-01-06,1115.3254092772324,1116.5994791465537,1096.1238548571225,1099.5364990234375,14447422
2022-01-07,1106.111498715673,1118.4422714413886,1097.2842377517782,1108.4093017578125,13112115
2022-01-10,1115.6895654128748,1117.9646215781718,1099.3318598320666,1109.3193359375,9246731
2022-01-11,1108.409307707792,1126.1319502273575,1107.9542483452858,1117.3048095703125,16205164
2022-01-12,1124.471284081761,1148.8827357783716,1121.604686652831,1147.130859375,14800442
2022-01-13,1147.19918473575,1156.1856749337926,1141.3522552982324,1153.592041015625,11856712
2022-01-14,1153.4553940360954,1168.1522095010407,1149.2919803342058,1155.275390625,19930176
2022-01-17,1154.8205993720844,1167.105878804206,1154.3655399895374,1161.304443359375,8036453
2022-01-18,1162.4419883292344,1165.9000062324892,1144.6964783846606,1147.4493408203125,6215029
2022-01-19,1151.1803655784236,1156.6404758295853,1141.6250823732196,1147.3582763671875,9755485
2022-01-20,1137.5529609143537,1142.0575796806486,1117.0545865844654,1127.2696533203125,16494486
2022-01-21,1115.689679954786,1138.5539787102412,1115.689679954786,1127.45166015625,13338594
2022-01-24,1126.1545759538076,1139.6912967231897,1071.598729229798,1081.9730224609375,21868937
2022-01-25,1069.0734401117095,1086.8644436444313,1048.802657948011,1079.8572998046875,24510205
2022-01-27,1062.9080331478985,1072.0537511885557,1051.5554999211186,1063.863525390625,20020431
2022-01-28,1076.103482458547,1081.0630398643073,1059.4500666597933,1062.83984375,14667727
2022-01-31,1073.91944662709,1094.9409997464795,1072.0993294430996,1085.9317626953125,12143683
2022-02-01,1095.6690383601324,1101.402112704543,1067.9587979070466,1082.337158203125,13200509
2022-02-02,1095.2138271372608,1095.2138271372608,1080.6989871423398,1084.5438232421875,10017691
2022-02-03,1088.3887863228124,1092.6886822523618,1068.0042683536662,1070.529541015625,9572839
2022-02-04,1065.1830393454286,1068.5729364671636,1056.1283095273284,1060.7694091796875,11061241
2022-02-07,1065.6382591326399,1072.372440138568,1048.802746440698,1054.3084716796875,10714467
2022-02-08,1060.4737500675897,1073.8283759531457,1051.0776952115107,1072.031005859375,12060849
2022-02-09,1078.901658786714,1086.204633140618,1072.918368570495,1084.5211181640625,11486225
2022-02-10,1090.0723137940836,1090.0723137940836,1076.1490130370194,1083.406494140625,12464491
2022-02-11,1079.857228868873,1084.9761347999724,1066.593591416207,1081.29052734375,15943370
2022-02-14,1064.8418760134352,1071.5305623649283,1052.4427424947037,1064.068359375,10719633
2022-02-15,1069.824295697398,1102.9037798370225,1062.7716573911962,1100.1964111328125,11212671
2022-02-16,1105.6791781831728,1107.0442358991004,1090.1860980638264,1097.9212646484375,10392840
2022-02-17,1101.1745201113265,1117.0089242641513,1096.5789142269996,1111.82177734375,12853252
2022-02-18,1112.2314504381943,1117.6915612787002,1101.1973736454247,1103.1312255859375,6775458
2022-02-21,1097.4890031023695,1109.091873871227,1085.021748188729,1091.9833984375,11107193
2022-02-22,1070.5977356852184,1090.1633625619224,1067.9814753307442,1087.023681640625,13494914
2022-02-23,1092.529336789828,1095.009115283983,1077.468449525144,1080.22119140625,7310110
2022-02-24,1048.8026672886117,1064.6826864402094,1020.7739713257805,1026.393310546875,24846650
2022-02-25,1037.4729771115954,1050.1450756675365,1035.7212210618118,1039.224853515625,14570089
2022-02-28,1020.5919703644313,1077.1726610969984,1020.5919703644313,1073.62353515625,21297446
2022-03-02,1062.2027357830907,1092.4838597770897,1059.8139450476658,1091.3690185546875,21471786
2022-03-03,1092.0288927878125,1098.785820478749,1078.4013026500006,1082.1551513671875,10186748
2022-03-04,1070.643322817288,1075.784976526752,1055.7872762059867,1058.1533203125,10805667
2022-03-07,1036.8358471079189,1052.0333374144284,1011.0367133096933,1019.022216796875,17983310
2022-03-08,1006.2590402981642,1021.9570232050447,991.92617525868,1017.1793212890625,21289374
2022-03-09,1017.4068401715399,1077.0133522040442,1016.5649623830144,1071.1436767578125,20414228
2022-03-10,1092.028820377732,1094.3038764083778,1073.8283721325647,1088.50244140625,17980493
2022-03-11,1081.1311923906428,1097.0339575128753,1081.1311923906428,1091.6419677734375,12257423
2022-03-14,1086.06812572994,1103.1311056498985,1080.1984500463022,1100.605712890625,8340678
2022-03-15,1104.7464533796308,1104.7464533796308,1065.1148867530296,1075.398193359375,15925769
